iter	MultiClass
133	0.2668547305
134	0.2643194241
135	0.2622800605
136	0.2595004359
137	0.2579937046
138	0.2559444896
139	0.253574805
140	0.2516870266
141	0.2490955318
142	0.2470938312
143	0.2454758263
144	0.2436093824
145	0.2413644818
146	0.2396284645
147	0.2381204248
148	0.2366293588
149	0.235115645
150	0.2326726664
151	0.2306584213
152	0.2286773064
153	0.2264704672
154	0.2246386705
155	0.2230310159
156	0.2211607285
157	0.2192516212
158	0.2175188024
159	0.2162423694
160	0.214470349
161	0.2127260649
162	0.2115000235
163	0.2095753518
164	0.2076823777
165	0.2057730509
166	0.2043164639
167	0.2031457276
168	0.2013483713
169	0.2000484569
170	0.1990838423
171	0.1978421448
172	0.1966145749
173	0.1953238765
174	0.1941234867
175	0.1927193366
176	0.1913853851
177	0.1903416041
178	0.1891206568
179	0.1881110639
180	0.1872449421
181	0.1856816679
182	0.1843828172
183	0.1831800325
184	0.18193291
185	0.1808065685
186	0.1798613011
187	0.1784038573
188	0.1771238001
189	0.1758253608
190	0.174827486
191	0.1734423754
192	0.1723598066
193	0.1709234464
194	0.1698195456
195	0.1690962123
196	0.168103764
197	0.1670986507
198	0.1662876828
199	0.1652179703
200	0.1643246749
201	0.1632780574
202	0.1625069396
203	0.161420431
204	0.160214967
205	0.159463212
206	0.1582840746
207	0.1574576854
208	0.1566393389
209	0.1556226256
210	0.1548899139
211	0.1537697048
212	0.1528386241
213	0.1518227027
214	0.15092984
215	0.1499005116
216	0.1488426016
217	0.1479648635
218	0.1471127689
219	0.1462045004
220	0.1456504412
221	0.144645643
222	0.1438277709
223	0.1431331492
224	0.1421600276
225	0.1412330875
226	0.1404636931
227	0.139748501
228	0.1390080794
229	0.1383548866
230	0.1375423055
231	0.1366024631
232	0.1359695927
233	0.1352946394
234	0.1346726885
235	0.1339539783
236	0.1331569937
237	0.1325529318
238	0.1318405231
239	0.1311494315
240	0.1303832847
241	0.1297911419
242	0.1292808398
243	0.1287085681
244	0.1282062302
245	0.1274352534
246	0.1267332931
247	0.1261818433
248	0.1253747755
249	0.1248338495
250	0.1243567098
251	0.1238845534
252	0.123131626
253	0.1223599019
254	0.12162362
255	0.1209643714
256	0.1205155805
257	0.1197995606
258	0.1190439031
259	0.1183442516
260	0.1178202551
261	0.1171580108
262	0.1167331131
263	0.1161981637
264	0.1156701916
265	0.1151449629
266	0.1145372072
267	0.114078678
268	0.1135358027
269	0.1130281817
270	0.1125061428
271	0.1119454888
272	0.1115060082
273	0.1108831026
274	0.1103376444
275	0.1098268603
276	0.1093318011
277	0.1088005584
278	0.1083307649
279	0.1077394833
280	0.1074219547
281	0.107014947
282	0.1066423027
283	0.1062855414
284	0.1057456043
285	0.1052730329
286	0.1048807465
287	0.1043671292
288	0.1038150568
289	0.103475373
290	0.1030955217
291	0.1027183534
292	0.1023438404
293	0.1020132399
294	0.1016436091
295	0.1013177512
296	0.1007951402
297	0.1004534383
298	0.09997728406
299	0.09952605276
300	0.09910365663
301	0.09862258925
302	0.09812459994
303	0.09781912124
304	0.0973289568
305	0.09694176243
306	0.09656102912
307	0.09618345119
308	0.09585197461
309	0.09547982096
310	0.09504694874
311	0.09472417294
312	0.09435123699
313	0.09406728663
314	0.09373781555
315	0.09342185607
316	0.09302365592
317	0.09267169393
318	0.09236250343
319	0.09205531116
320	0.09170612727
321	0.09132166839
322	0.09096102285
323	0.09056440617
324	0.09030145489
325	0.0898775785
326	0.08945764662
327	0.08916833761
328	0.08885542729
329	0.0885211646
330	0.08816055701
331	0.08775557896
332	0.08747656967
333	0.08719928293
334	0.08687663186
335	0.08648281811
336	0.08612281946
337	0.08585356777
338	0.08554912738
339	0.08524699023
340	0.08501200441
341	0.08463378659
342	0.08437318425
343	0.08406226518
344	0.0837359866
345	0.08336872722
346	0.08304572426
347	0.08272537614
348	0.08236623462
349	0.08209651544
350	0.08184448738
351	0.08149266817
352	0.08111870119
353	0.08081220416
354	0.08059959614
355	0.0803284438
356	0.08009248569
357	0.07988387269
358	0.07958636793
359	0.07935461291
360	0.07900405781
361	0.07867425397
362	0.07844742192
363	0.07810465188
364	0.07793022109
365	0.07773208793
366	0.07746521723
367	0.07722429536
368	0.07700512948
369	0.07669085075
370	0.07645458742
371	0.07623951967
372	0.0760256345
373	0.07571902798
374	0.07550793938
375	0.07527852047
376	0.07501145925
377	0.07479757516
378	0.07459136443
379	0.07432916609
380	0.07409109152
381	0.07384700113
382	0.07368995743
383	0.07344847563
384	0.07320856302
385	0.07299204801
386	0.07279511918
387	0.07254477032
388	0.07229626441
389	0.07207990738
390	0.07192989246
391	0.07168145742
392	0.07153300598
393	0.07129223507
394	0.07110403456
395	0.0708142629
396	0.07058995016
397	0.07032305454
398	0.07005818928
399	0.06987617996
400	0.06961460561
401	0.06939770026
402	0.06921894623
403	0.0689913649
404	0.06876716453
405	0.06861051711
406	0.06845457953
407	0.06828052363
408	0.06803015697
409	0.0678581754
410	0.06767041334
411	0.0674873598
412	0.06731795844
413	0.06713249881
414	0.06694857066
415	0.06670735687
416	0.06655948835
417	0.06632767622
418	0.06609057968
419	0.06592774419
420	0.06576569687
421	0.06560443202
422	0.06544394398
423	0.06528422717
424	0.06510085912
425	0.06485571911
426	0.06471579007
427	0.0645156704
428	0.06432747508
429	0.06417295873
430	0.0640191718
431	0.06385432269
432	0.06370200375
433	0.06356678175
434	0.06342125646
435	0.06327089301
436	0.0631212305
437	0.06295690236
438	0.06274206421
439	0.06252870988
440	0.06231682377
441	0.06220274352
442	0.06208907395
443	0.06186504854
444	0.06172166424
445	0.06159414443
446	0.06148256637
447	0.06130089427
448	0.06114544088
449	0.06102021588
450	0.06081783772
451	0.06068974628
452	0.06048955068
453	0.06036278152
454	0.06024055974
455	0.06004316633
456	0.05988337276
457	0.05973877646
458	0.05954456396
459	0.05935163173
460	0.05917709147
461	0.05897269184
462	0.05885601514
463	0.0587397998
464	0.05853715419
465	0.05839150145
466	0.05824261323
467	0.05805751344
468	0.05789639782
469	0.05769953558
470	0.05751777327
471	0.05733717385
472	0.05719064258
473	0.0570672062
474	0.05692467003
475	0.05678032318
476	0.0566715745
477	0.05652863704
478	0.05640794748
479	0.05624663671
480	0.05613630186
481	0.05599600147
482	0.05586498365
483	0.0556938414
484	0.05560177589
485	0.05543222022
486	0.05529502451
487	0.05520421078
488	0.05506819581
489	0.05490170651
490	0.05478756385
491	0.0546498207
492	0.05454892598
493	0.0544121804
494	0.0543241135
495	0.05414958431
496	0.05398837177
497	0.0539016469
498	0.05380339385
499	0.05369354227
500	0.05353496582
501	0.05337734445
502	0.05327739946
503	0.0531663566
504	0.05301080843
505	0.05288460892
506	0.05273061927
507	0.05264768891
508	0.05249505941
509	0.05235474654
510	0.05223992226
511	0.05213610376
512	0.0520049725
513	0.05185607365
514	0.05171048239
515	0.05163058586
516	0.05152910255
517	0.05141743463
518	0.05127166751
519	0.05117153086
520	0.05107178215
521	0.05096212999
522	0.05087397975
523	0.05075763145
524	0.05066978619
525	0.05057539003
526	0.05043420649
527	0.05028287333
528	0.05016595074
529	0.05004968288
530	0.04992181978
531	0.04979466632
532	0.04965781193
533	0.04952345444
534	0.04944989552
535	0.04932615787
536	0.04919368606
537	0.04908904235
538	0.0489797359
539	0.04888801568
540	0.04878917781
541	0.0486830533
542	0.04860201693
543	0.04850884991
544	0.04842560218
545	0.04832110227
546	0.04818121844
547	0.0480763923
548	0.04800698986
549	0.04786908965
550	0.04779088938
551	0.04771294675
552	0.04761164795
553	0.04751592923
554	0.04741114127
555	0.04729980518
556	0.04719862381
557	0.04713164506
558	0.04702161702
559	0.04693989257
560	0.04683076075
561	0.04673143909
562	0.0466566161
563	0.0465730642
564	0.04645213177
565	0.04633184442
566	0.04622285426
567	0.0461169269
568	0.04600081971
569	0.04590644815
570	0.04582144521
571	0.04574077752
572	0.04564331036
573	0.04552694755
574	0.04543886257
575	0.04532355422
576	0.04524738337
577	0.04513304254
578	0.04501929574
579	0.04494982046
580	0.04488884162
581	0.04476755804
582	0.04464655883
583	0.04456980286
584	0.04447698653
585	0.04438663721
586	0.04431074985
587	0.04423512128
588	0.04414618675
589	0.04406337601
590	0.04399654986
591	0.0439141496
592	0.04382780836
593	0.04372024896
594	0.04363333153
595	0.04355242887
596	0.04348724475
597	0.04341427798
598	0.04334932257
599	0.04327681289
600	0.04318929297
601	0.04307650927
602	0.04300489243
603	0.04292193508
604	0.04281863292
605	0.04271584306
606	0.0426327475
607	0.04256031153
608	0.0424903482
609	0.04242061455
610	0.04234398218
611	0.04227250211
612	0.04219106971
613	0.04212602177
614	0.04205992098
615	0.04199899539
616	0.04191624072
617	0.04184139806
618	0.04174481961
619	0.04163900857
620	0.04157191789
621	0.04149310404
622	0.04138856523
623	0.04130812905
624	0.04124067678
625	0.04118905599
626	0.04111672808
627	0.04105614625
628	0.04100498163
629	0.04093313182
630	0.04085664614
631	0.04077088327
632	0.04070645471
633	0.04063004721
634	0.04053713452
635	0.04047343066
636	0.04041670156
637	0.04034681312
638	0.04025517314
639	0.04020591231
640	0.04013905303
641	0.04004988101
642	0.0399595156
643	0.03989755453
644	0.03981891428
645	0.03976412405
646	0.03967505397
647	0.039607651
648	0.03952862211
649	0.03946796296
650	0.03939955953
651	0.03931344831
652	0.03924077506
653	0.03918751643
654	0.03910091289
655	0.03902901269
656	0.03896020262
657	0.03887611802
658	0.03880605864
659	0.03872252768
660	0.03867686833
661	0.038623046
662	0.03856501666
663	0.03850518233
664	0.03843538523
665	0.03837214264
666	0.03828245871
667	0.03819957553
668	0.03811706402
669	0.03806048274
670	0.03799389142
671	0.03794384708
672	0.03787098761
673	0.03778982826
674	0.0377225499
675	0.03765052028
676	0.03758372265
677	0.03753166813
678	0.03745190692
679	0.03740020738
680	0.03733526872
681	0.0372630802
682	0.03720894809
683	0.03716668553
684	0.0370884072
685	0.03704640896
686	0.03698166173
687	0.03692831796
688	0.03686397851
689	0.03679512893
690	0.0367329065
691	0.0366802655
692	0.03662777594
693	0.03657000724
694	0.03651782153
695	0.03644218166
696	0.03638041902
697	0.03632876594
698	0.03626642821
699	0.03620528338
700	0.0361443845
701	0.03607018412
702	0.03601114152
703	0.03594297438
704	0.035869601
705	0.03580864324
706	0.03573582518
707	0.03566331445
708	0.03559110905
709	0.03554160876
710	0.03547528318
711	0.0354279635
712	0.03535671893
713	0.03527977342
714	0.03522090517
715	0.03517239859
716	0.03512402624
717	0.03505499787
718	0.03500694408
719	0.03496080935
720	0.03490283429
721	0.03484210297
722	0.03478451629
723	0.03473228667
724	0.03467518839
725	0.0346382968
726	0.03457012069
727	0.0345257827
728	0.03447444886
729	0.03443299942
730	0.03437257206
731	0.03430540586
732	0.03425471038
733	0.03420257751
734	0.03413037811
735	0.03407662436
736	0.03403441195
737	0.03398902608
738	0.03393415292
739	0.03386865512
740	0.03381626665
741	0.03375791113
742	0.03371324371
743	0.03366076276
744	0.03361634879
745	0.03357677668
746	0.03353258334
747	0.03349320905
748	0.03343458586
749	0.03337873111
750	0.03332751646
751	0.03327618743
752	0.03323362113
753	0.03319965592
754	0.03313683373
755	0.03309376357
756	0.0330600741
757	0.03299777583
758	0.03293572167
759	0.03289316103
760	0.03283150393
761	0.03277763415
762	0.03272718365
763	0.03266614009
764	0.03260014739
765	0.03253957996
766	0.03249802515
767	0.03244403039
768	0.03239399829
769	0.03234587075
770	0.03228093588
771	0.03223562321
772	0.03218247039
773	0.03213765103
774	0.0321014947
775	0.03204708488
776	0.03200252767
777	0.03195810413
778	0.03189982493
779	0.03184176681
780	0.03177891895
781	0.03172190118
782	0.0316644655
783	0.03161184408
784	0.03155479872
785	0.03151980009
786	0.03146308568
787	0.03140658356
788	0.03136972555
789	0.03133102043
790	0.03129650157
791	0.03124057791
792	0.03118006879
793	0.03114452172
794	0.03109991129
795	0.03105972929
796	0.03102177374
797	0.03096679034
798	0.03093305112
799	0.03088397957
800	0.03084009929
801	0.0307857258
802	0.03074107058
803	0.03068703341
804	0.03063721881
805	0.03060210784
806	0.0305540672
807	0.0305212091
808	0.03047190277
809	0.03043534339
810	0.03039626528
811	0.03035988325
812	0.03031642309
813	0.03028406354
814	0.03023157783
815	0.03017928157
816	0.03012744056
817	0.03009556398
818	0.03006110027
819	0.03002813384
820	0.02997651786
821	0.0299250867
822	0.02987383931
823	0.0298423792
824	0.0297997614
825	0.02975523556
826	0.02969981001
827	0.0296493195
828	0.02961111857
829	0.02956599709
830	0.02951614348
831	0.02948178642
832	0.02943200337
833	0.02938744139
834	0.02934977736
835	0.02931388051
836	0.02927998524
837	0.02923588901
838	0.02918690316
839	0.02914663707
840	0.02910737714
841	0.0290739527
842	0.02902548159
843	0.02898100927
844	0.02893284237
845	0.02888484238
846	0.02885548247
847	0.028822625
848	0.02879144356
849	0.02876227134
850	0.02872962363
851	0.02870057719
852	0.02866578233
853	0.0286368645
854	0.02858982259
855	0.02855060821
856	0.02852191951
857	0.02847525877
858	0.02843983262
859	0.02840894676
860	0.02837023099
861	0.02833270659
862	0.02830444563
863	0.02825881689
864	0.02820906372
865	0.02816339802
866	0.02812873717
867	0.02809747355
868	0.0280696702
869	0.02802010397
870	0.02799122098
871	0.02796688235
872	0.02793933185
873	0.02789064983
874	0.02785329954
875	0.02780874982
876	0.02778029058
877	0.02774046196
878	0.02770918656
879	0.02767447234
880	0.02762668899
881	0.02760152792
882	0.02757140273
883	0.02753115989
884	0.02749602781
885	0.02745254745
886	0.0274249596
887	0.02738928701
888	0.02734613544
889	0.02730916883
890	0.02726664106
891	0.02722025697
892	0.02718995053
893	0.02714780527
894	0.0271053896
895	0.02707306869
896	0.02704547787
897	0.02701856108
898	0.02698864796
899	0.02694670669
900	0.02691414837
901	0.0268824021
902	0.02684812424
903	0.02680703937
904	0.02677858589
905	0.0267403278
906	0.02669913016
907	0.02666482479
908	0.02662811587
909	0.02658725803
910	0.02654653122
911	0.02651456738
912	0.02648966197
913	0.02646381588
914	0.02642671833
915	0.02639309545
916	0.02635293705
917	0.02633130096
918	0.02629883916
919	0.02627143178
920	0.02624496219
921	0.0262093731
922	0.02617269213
923	0.02614756202
924	0.02612046194
925	0.02608520382
926	0.0260567017
927	0.02602243116
928	0.02599479358
929	0.02596800807
930	0.02594329023
931	0.02591745028
932	0.02587869752
933	0.02585011993
934	0.02581794905
935	0.02578671719
936	0.02575470684
937	0.02572362985
938	0.025694614
939	0.02565652262
940	0.0256296623
941	0.0256035982
942	0.02557485737
943	0.02554796621
944	0.02552206461
945	0.02548976314
946	0.02545610054
947	0.02542764317
948	0.02539033244
949	0.02536474257
950	0.02534197177
951	0.0253138064
952	0.02528396925
953	0.02525314453
954	0.02523324154
955	0.02520289238
956	0.02517138763
957	0.02514167115
958	0.0251120339
959	0.02508162295
960	0.02505403181
961	0.02502084614
962	0.02498470121
963	0.02495989829
964	0.02494044438
965	0.02491758439
966	0.02488198253
967	0.024859093
968	0.02482702151
969	0.02478834918
970	0.02475869379
971	0.02472327322
972	0.02470417848
973	0.02468511383
974	0.02466170066
975	0.02463012942
976	0.02460601419
977	0.02457681549
978	0.0245418999
979	0.02451063306
980	0.02448421244
981	0.0244498341
982	0.0244260642
983	0.02439584971
984	0.02437474638
985	0.02435112281
986	0.02432283349
987	0.02429213734
988	0.02427120728
989	0.0242477852
990	0.02422940182
991	0.02419542987
992	0.02416155769
993	0.02413334654
994	0.02411513116
995	0.0240814849
996	0.02405766984
997	0.02403464937
998	0.02400465298
999	0.02398041744
